treatment,anger,fear,sympathy,pity,disgust,compassion,articlesymp,articlerace,mikewhite,mikeblack,mikenorace,perwhiteopioid,perblackopioid,perotheropioid,perwhitedrug,perblackdrug,perotherdrug,whiteid,rr,workstereotypediff,whitesymp,blacksymp,noracesymp,whiteunsymp,blackunsymp,noraceunsymp,control
control,0.3,0.8,0.8,0.8,0.2,0.1,NA,NA,0,0,0,0.6,0.3,0.117647059,60,30,10,0,1,0.833333333,0,0,0,0,0,0,1
noracesymp,0,0.3,0.2,0.3,0,0,0.5,not sure,0,0,1,0.34,0.33,0.388235294,64,12,24,0.25,0.5,0,0,0,1,0,0,0,0
whiteunsymp,0.2,0.6,0.6,0.7,0.4,0.6,0,white,1,0,0,0.25,0.25,0.588235294,25,25,50,1,0.4375,0,0,0,0,1,0,0,0
blacksymp,0.4,0.9,0.9,0.7,0.9,0.5,1,black,0,1,0,0.4,0.55,0.058823529,40,55,5,0.375,0.6875,0.266666667,0,1,0,0,0,0,0
control,0.2,0.6,0.4,0.7,0.2,0.1,NA,NA,0,0,0,0.75,0.2,0.058823529,75,20,5,0.75,0.375,0.233333333,0,0,0,0,0,0,1
noraceunsymp,0.2,0.8,1,0.9,0.5,0.1,0,not mentioned,0,0,1,0.6,0.2,0.235294118,60,20,20,0.125,0.1875,0.1,0,0,0,0,0,1,0
blackunsymp,0.5,0.8,1,0.8,0.4,0,0.25,black,0,1,0,0.3,0.6,0.117647059,30,60,10,0.125,0.0625,0.1,0,0,0,0,1,0,0
whitesymp,0.7,1,1,1,0.8,0.1,1,white,1,0,0,0.4,0.4,0.235294118,40,40,20,0,0.75,0,1,0,0,0,0,0,0
whiteunsymp,0.7,0,0,0,0.6,0.9,0.5,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.5,0.9375,NA,0,0,0,1,0,0,0
noracesymp,0.1,0.9,0.8,0.8,0.3,0.1,0.75,not mentioned,0,0,1,0.4,0.2,0.470588235,50,20,30,0,0,0,0,0,1,0,0,0,0
blacksymp,0.9,0.4,0.5,0.6,0.9,0.3,0.25,black,0,1,0,0.2,0.5,0.352941176,40,10,50,0.5,0.75,0.433333333,0,1,0,0,0,0,0
blackunsymp,0.8,0.2,0.2,0.2,0.8,0.8,0.5,black,0,1,0,0.55,0.45,0,50,50,0,0.875,1,0.833333333,0,0,0,0,1,0,0
noraceunsymp,0.2,0.7,0.6,0.9,0.3,0.3,0,white,1,0,0,0.4,0.1,0.588235294,55,20,25,0,0.8125,0.1,0,0,0,0,0,1,0
control,0.2,0.5,0.4,0.7,0.5,0.3,NA,NA,0,0,0,0.55,0.4,0.058823529,55,40,5,0.375,0.625,0.033333333,0,0,0,0,0,0,1
noracesymp,0.1,1,1,0.7,0.4,1,0,white,1,0,0,0.3,0.1,0.705882353,40,10,50,0.625,0.5625,0.3,0,0,1,0,0,0,0
blackunsymp,1,0.4,0.1,0.4,0.7,1,0.75,black,0,1,0,0.1,0.8,0.117647059,10,80,10,1,0.6875,0.2,0,0,0,0,1,0,0
noraceunsymp,1,1,0.9,0.9,0.7,0.7,0.75,white,1,0,0,0.25,0.25,0.588235294,25,25,50,0.875,0.5,NA,0,0,0,0,0,1,0
control,0.2,0.6,1,0.7,0.9,0.6,NA,NA,0,0,0,0.45,0.35,0.235294118,45,35,20,0.125,0.625,0.066666667,0,0,0,0,0,0,1
whiteunsymp,1,0.6,0.4,0.3,1,1,0.25,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.75,0.9375,0.3,0,0,0,1,0,0,0
whiteunsymp,0.9,0.3,0.8,0.1,1,1,0.25,white,1,0,0,0.85,0.05,0.117647059,55,25,20,0.125,0.9375,0.333333333,0,0,0,1,0,0,0
blackunsymp,0.5,0.5,0.5,0.5,0.5,0.5,0,black,0,1,0,0.25,0.25,0.588235294,25,25,50,0.75,1,0.066666667,0,0,0,0,1,0,0
whitesymp,0.7,1,0.8,0.9,0.4,0.4,0.75,white,1,0,0,0.6,0.2,0.235294118,60,20,20,0.375,0.5,0.1,1,0,0,0,0,0,0
noracesymp,0.4,0.4,0.4,0.3,0.6,0.7,0.75,white,1,0,0,0.6,0.16,0.282352941,55,19,26,0.625,0.8125,0.3,0,0,1,0,0,0,0
whitesymp,1,0.4,0.9,0.4,1,1,0.75,white,1,0,0,0.9,0.05,0.058823529,100,0,0,0.5,0.8125,0.3,1,0,0,0,0,0,0
noraceunsymp,0.5,0.6,0.5,0.5,0.6,0.5,0.25,not mentioned,0,0,1,0.334,0.333,0.391764706,34,33,33,0.375,0.75,0.133333333,0,0,0,0,0,1,0
whiteunsymp,0.7,0.2,0.7,0.5,0.8,0.2,0.75,white,1,0,0,0.3,0.24,0.541176471,64,12,24,0.875,0.5,-0.066666667,0,0,0,1,0,0,0
noracesymp,0.7,0.7,0.8,0.6,0.7,0.9,0.75,not mentioned,0,0,1,0.2,0.5,0.352941176,20,50,30,0.625,0.5625,0.333333333,0,0,1,0,0,0,0
blacksymp,0.3,0.3,0.3,0.3,0.6,0.2,0.75,black,0,1,0,0.4,0.5,0.117647059,40,50,10,0.5,0.625,0.266666667,0,1,0,0,0,0,0
control,0.2,0.3,0.6,0.3,0.6,0.4,NA,NA,0,0,0,0.8,0.1,0.117647059,40,35,25,0.625,0.8125,0.466666667,0,0,0,0,0,0,1
noraceunsymp,1,0.5,0.5,0.5,1,0.5,0,white,1,0,0,0.5,0.3,0.235294118,40,40,20,0.625,0.125,0.133333333,0,0,0,0,0,1,0
blacksymp,0.9,1,0.3,1,0.5,0.5,0.75,black,0,1,0,0.5,0.5,0,45,45,10,0.5,0.9375,0.166666667,0,1,0,0,0,0,0
noracesymp,0.9,0.3,0.3,0.3,0.9,0.9,0.5,not mentioned,0,0,1,0.5,0.2,0.352941176,50,20,30,0.25,0.625,0.666666667,0,0,1,0,0,0,0
noraceunsymp,0.3,0.4,0.8,0.5,0.7,0.4,1,white,1,0,0,0.4,0.3,0.352941176,50,20,30,0.375,0.0625,0.033333333,0,0,0,0,0,1,0
whitesymp,0,0.8,0.7,0.9,0.3,0,1,white,1,0,0,0.8,0.19,0.011764706,75,20,5,0.375,0.5625,0.833333333,1,0,0,0,0,0,0
whiteunsymp,0.7,0.5,0.5,0.6,0.4,0.2,0.25,white,1,0,0,0.65,0.25,0.117647059,40,45,15,0.625,0.75,0.133333333,0,0,0,1,0,0,0
control,0.7,0.4,0.5,0.4,0.7,0.8,NA,NA,0,0,0,0.65,0.2,0.176470588,65,25,10,0.25,0.8125,0.466666667,0,0,0,0,0,0,1
blackunsymp,0.3,0.7,0.5,0.7,0.1,0.4,0.75,black,0,1,0,0.25,0.5,0.294117647,75,10,15,0.375,0.5,-0.833333333,0,0,0,0,1,0,0
whitesymp,0,0.7,0.7,0.7,0.7,0,0.75,white,1,0,0,0.85,0.05,0.117647059,50,20,30,0.625,0.375,0.133333333,1,0,0,0,0,0,0
blacksymp,0.4,0.5,0.9,0.4,0.7,0.9,0,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.75,0.4375,0.2,0,1,0,0,0,0,0
whitesymp,0.9,0.5,0.6,0.9,0.8,0.9,0.75,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.75,0.5625,0.033333333,1,0,0,0,0,0,0
blackunsymp,0.8,0.6,1,0.4,1,0.8,0.25,black,0,1,0,0.3,0.6,0.117647059,20,60,20,0.875,0.0625,0,0,0,0,0,1,0,0
control,0,0,0,0,0,0,NA,NA,0,0,0,0.4,0.3,0.352941176,100,0,0,1,0.5,0,0,0,0,0,0,0,1
blacksymp,0.6,0.7,0.6,0.5,0.7,0.5,0.75,black,0,1,0,0.4,0.3,0.352941176,40,30,30,0.5,0.6875,-0.166666667,0,1,0,0,0,0,0
whiteunsymp,0.4,0.6,0.6,0.7,0.7,0.3,1,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.375,0.5625,0.033333333,0,0,0,1,0,0,0
blackunsymp,0.4,0.8,0.7,0.7,0.4,0.5,0.75,black,0,1,0,0.3,0.6,0.117647059,30,60,10,0.5,0.5,0.1,0,0,0,0,1,0,0
whitesymp,0.2,1,0.9,0.9,0.3,0.1,1,white,1,0,0,0.78,0.12,0.117647059,78,12,10,0.125,0.25,0.033333333,1,0,0,0,0,0,0
blacksymp,0.8,0.4,0.3,0.4,0.9,0.9,0.75,black,0,1,0,0.4,0.4,0.235294118,40,40,20,0,0.8125,0.133333333,0,1,0,0,0,0,0
whitesymp,0.5,0.8,0.8,0.8,0.5,0.5,0.75,white,1,0,0,0.75,0.2,0.058823529,50,40,10,0.5,0.4375,0.1,1,0,0,0,0,0,0
blackunsymp,0.8,0.7,0.8,0.1,0.8,0.7,0.25,black,0,1,0,0.5,0.5,0,25,50,25,0.5,0.5,0.1,0,0,0,0,1,0,0
blacksymp,0.2,0.1,1,0.6,0.5,0.5,0.25,black,0,1,0,0.5,0.25,0.294117647,50,25,25,0.5,0.875,0,0,1,0,0,0,0,0
noraceunsymp,0.8,0.6,0.5,0.4,0.3,0.6,0.5,not mentioned,0,0,1,0.75,0.15,0.117647059,75,15,10,0.125,0.1875,0.1,0,0,0,0,0,1,0
control,0.5,0.5,0.5,0.7,1,0.5,NA,NA,0,0,0,0.64,0.12,0.282352941,64,12,24,0.25,0.75,0.033333333,0,0,0,0,0,0,1
noracesymp,0.4,0.5,0.6,0.5,0.6,0.4,0.75,white,1,0,0,0.3,0.35,0.411764706,40,50,10,0.25,0.75,0.466666667,0,0,1,0,0,0,0
whiteunsymp,0.7,1,0.6,0.9,0.6,0.5,0.75,white,1,0,0,0.5,0.25,0.294117647,50,25,25,0.5,0.6875,0.1,0,0,0,1,0,0,0
whitesymp,0.5,0.5,0.6,0.6,0.5,0.6,0.5,white,1,0,0,0.5,0.5,0,50,50,0,0.5,0.5,0.066666667,1,0,0,0,0,0,0
blackunsymp,0.5,0,0,0.6,1,0.6,1,black,0,1,0,0.24,0.12,0.752941176,12,24,64,0.25,0.75,0,0,0,0,0,1,0,0
noracesymp,0,0.8,0.7,0.6,0.3,0,0.5,not sure,0,0,1,0.78,0.12,0.117647059,64,12,24,0,0.1875,0.1,0,0,1,0,0,0,0
noraceunsymp,0.9,0.9,0.6,0.9,1,0.9,0.5,white,1,0,0,0.64,0.12,0.282352941,50,40,10,0.25,0.6875,0,0,0,0,0,0,1,0
blackunsymp,0.7,0.6,0.6,0.7,0.7,0.4,0.75,black,0,1,0,0.65,0.35,0,65,35,0,0.625,0.5,-0.266666667,0,0,0,0,1,0,0
control,0.6,0.5,0.6,0.6,0.7,0.5,NA,NA,0,0,0,0.6,0.25,0.176470588,55,35,10,0.5,0.375,0.1,0,0,0,0,0,0,1
whitesymp,0.3,0.6,0.8,0.7,0.8,0.7,0.75,white,1,0,0,0.8,0.1,0.117647059,40,30,30,0.625,0.875,0.433333333,1,0,0,0,0,0,0
blacksymp,0.6,1,1,0.9,0.9,0.4,0.75,black,0,1,0,0.4,0.5,0.117647059,40,40,20,0.25,0.75,0.1,0,1,0,0,0,0,0
noracesymp,1,1,0.8,1,1,0.6,1,white,1,0,0,0.25,0.25,0.588235294,40,40,20,0.25,0.5625,0,0,0,1,0,0,0,0
blackunsymp,0,1,1,1,0,0,1,black,0,1,0,0.4,0.5,0.117647059,70,20,10,0.625,0.9375,0,0,0,0,0,1,0,0
noracesymp,0.7,0.9,0.6,0.9,0.4,0.2,0.75,not sure,0,0,1,0.35,0.4,0.294117647,45,40,15,0.625,0.6875,0.1,0,0,1,0,0,0,0
control,0.6,0.2,0.2,0.4,0.4,0.3,NA,NA,0,0,0,0.25,0.5,0.294117647,25,25,50,0.75,1,0.8,0,0,0,0,0,0,1
blacksymp,0.2,0.7,0.5,0.8,0.6,0.2,1,black,0,1,0,0.3,0.4,0.352941176,30,40,30,0.25,0.375,0.1,0,1,0,0,0,0,0
noraceunsymp,0.8,0.7,1,0.6,0.6,0.8,0.75,not mentioned,0,0,1,0.5,0.5,0,50,40,10,1,1,NA,0,0,0,0,0,1,0
whitesymp,1,1,0.9,0.5,1,1,0.5,white,1,0,0,1,0,0,50,50,0,1,0.75,0.1,1,0,0,0,0,0,0
