policy,candidatesupport,taxesfortreatment,emotionscale,sw,sb,ns,uw,ub,pooledwhite,pooledblack,pooledsymp,pooledunsymp,treat,RR,whiteid,racialstereotype,conservative,moderate,liberal,republican,independent,democrat,age,region,hsgrad,somecollege,collegegrad,postgrad,female,d25kto34k,d35kto49k,d50kto74k,d75kto99k,d100kto149k,d150kormore,pid7,ideo,perwhiteaddicts,perblackaddicts,overrepwhiteaddicts,overrepblackaddicts,sympathymike,opioidnews,state
0,0.25,0.2,0.425,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.75,0,0,0,0,1,1,0,0,51,Midwest,0,0,1,0,0,0,0,0,1,0,0,1,3,0.6,0.2,0,1,0.25,Fairly closely,IN
1,0.75,0.6,0.525,0,0,1,0,0,0,0,0,0,No Story,0.5,0.5,0,1,0,0,0,0,1,59,Midwest,0,1,0,0,0,0,0,0,0,0,1,0.166666667,5,0.75,0.2,1,1,NA,Fairly closely,IL
1,0.5,0.2,0.85,1,0,0,0,0,1,0,1,0,Sympathetic White,0.875,0,0,0,0,1,1,0,0,39,Northeast,0,0,1,0,0,0,0,0,0,0,1,0.833333333,2,0.5,0.5,0,1,0.5,Not too closely,NJ
1,0.75,0.8,0.75,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.75,0.5,0,0,0,1,0,0,1,56,South,0,0,1,0,1,0,0,0,0,0,1,0.166666667,2,0.65,0.25,1,1,0.5,Fairly closely,FL
0,0.5,0.2,0.6,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.625,0.25,0,0,1,0,1,0,0,29,South,0,0,0,0,0,0,0,1,0,0,0,0.833333333,4,1,0,1,0,0.5,Fairly closely,TX
1,0.5,0,0.675,1,0,0,0,0,1,0,1,0,Sympathetic White,1,0.5,0.333333333,NA,NA,NA,NA,NA,NA,20,Northeast,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.32,0.48,0,1,0.5,Not too closely,PA
1,0.5,0.4,0.65,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.125,1,0,1,0,0,1,0,0,81,Northeast,0,0,0,1,0,0,0,0,0,1,0,0.833333333,5,0.5,0.3,0,1,0.5,Not too closely,PA
0,0.5,0,0.7,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.375,0,0,1,0,0,1,0,0,26,Northeast,1,0,0,0,0,0,1,0,0,0,0,0.833333333,6,0.5,0.35,0,1,0.5,Not closely at all,ME
0,0.25,0,0.55,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.125,0,0,0,0,1,0,0,1,61,West,0,0,0,1,1,0,0,0,0,1,0,0.166666667,2,0.6,0.3,0,1,0.5,Fairly closely,CA
1,0.75,0,0.725,0,1,0,0,0,0,1,1,0,Sympathetic Black,1,0.5,0,1,0,0,0,1,0,78,South,0,1,0,0,0,0,0,0,0,1,0,0.5,6,0.6,0.2,0,1,1,Very closely,FL
1,0.75,0.8,0.625,0,0,1,0,0,0,0,0,0,No Story,0,0.25,0,0,0,1,0,0,1,56,Northeast,0,0,1,0,1,0,1,0,0,0,0,0.333333333,2,0.8,0.06,1,0,NA,Fairly closely,NY
1,0.75,0.6,0.775,0,0,0,1,0,1,0,0,1,Unsympathetic White,0,0.25,-0.166666667,0,0,1,0,0,1,36,South,0,0,1,0,0,0,0,0,1,0,0,0.333333333,3,0.4,0.4,0,1,0.75,Very closely,VA
0,0.5,0.2,0.625,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.625,0.25,0,0,0,1,1,0,0,38,Midwest,0,1,0,0,0,0,0,0,0,0,1,0.666666667,2,0.6,0.3,0,1,0.5,Not too closely,OH
1,1,0.4,0.8,1,0,0,0,0,1,0,1,0,Sympathetic White,0.125,0,0,0,0,1,0,0,1,36,Midwest,0,0,1,0,0,0,0,0,0,1,0,0.333333333,2,0.8,0.05,1,0,0.75,Not too closely,MO
